Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Target
0.37173493129772894,0.1165600921037398,0.26226862158832176,0.6727867675062277,0.5732729842007713,0.3901175747318746,0.6481038603493484,0.03861004483670908,0.7230837429690787,0.9140257389885614,0.607938202405006
0.9507546241247169,0.3451558078317232,0.2475094027366158,0.7969011610796584,0.8072431984474697,0.47046678191799707,0.1712950698290203,0.18678112007609995,0.6899586994973124,0.5255954905424733,0.8134457013160169
0.7309540827978159,0.5572696725610898,0.9082326829211812,0.25008852690674077,0.7618682837910677,0.8542007704627608,0.8726833661903434,0.8321167621297688,0.09591700765972677,0.7252546213311472,0.6366964676751482
0.5969601320493095,0.46710406216540273,0.2500824404713463,0.624905409898795,0.1542210148507821,0.33611742932356314,0.6128938639681818,0.7675530365538886,0.9262476378913708,0.4362343692191677,0.4771680288259936
0.1521342583877113,0.514734314901311,0.272535155689111,0.5717190177699415,0.14955994646410797,0.8694069740017341,0.1560826583966077,0.35087055682410156,0.5706431745475868,0.6303269411062427,0.4900759337168852
0.15211001916144262,0.4200471067005507,0.49943660679640334,0.8330897921076097,0.2687567717413115,0.08251447281501534,0.962804187634257,0.3770735082741623,0.3650267048005883,0.3407096958007452,0.45063339590564777
0.05371556624143277,0.4415075547420507,0.45071562605678805,0.9064268302774052,0.36186955129947806,0.775916859629076,0.5179562831622856,0.5340270518463391,0.7595084846764517,0.3012711801658596,0.3930832941432711
0.8657989616537893,0.5420519677805807,0.7784042339060929,0.011515998651985326,0.4093587448810898,0.8471528481821693,0.07161101506700374,0.0,0.2582148116242238,0.578493763956084,0.793847717955504
0.599428791451118,0.1579103310271898,0.06549801448850895,0.6741051368769765,0.6812205868370542,0.1768422858773473,0.6266375722868733,0.24132581622893967,0.6962119844705146,0.498349762131889,0.7745603268083407
0.706914580259927,0.3115323201951879,0.48863003938292704,0.05123854979751724,0.056779245507247555,0.42708117843195126,0.2522669400102681,0.2082691149665223,0.03963593914742647,0.5798010628620949,0.7452091666252689
0.016031254482150707,0.13967577478071444,0.033675741537758264,0.5488065948479094,0.034721195880759836,0.16041213188210435,0.8038468076310005,0.2505767890612049,0.8427299782791514,0.2867647974322699,0.46333273325532276
0.9700449693795675,0.6307768135683878,0.0627791038469423,0.2872941228647453,0.39277589546739655,0.7052395766344954,0.8180032844817178,0.8067428923461841,0.4498307646693125,0.3671060458204645,0.7014874744846814
0.8318988597228956,0.6028349739800783,0.9084159572581375,0.306458992051023,0.6987270000444465,0.5328048793755631,0.9794462319261922,0.27980675901059954,0.6391536966056841,0.08389107557233888,0.7445968332652724
0.2087328740143215,0.023200282708951525,0.13953943643949301,0.3526915524202301,0.19384685271966573,0.6334683440395867,0.5014278284388682,0.1915362682229926,0.22193369844016048,0.05225216056805893,0.5940376257427672
0.1780680327893048,0.45002851137346067,0.5335779990341553,0.6213198306670228,0.6429405218055115,0.19161253280604562,0.4544226869103948,0.5046968850395225,0.6797060374334145,0.2535431524088131,0.4512126029217347
0.1796553761962631,0.5907819903152229,0.41198653933423135,0.3337622740627568,0.2603914578966431,0.20697641734786743,0.7535299546396065,0.8665620227839118,0.7752768797675086,0.07423468607563961,0.3409875699923324
0.30108988092650085,0.11363986367425238,0.34809428918779495,0.7328486329234267,0.888081396554163,0.03555647885550961,0.13130066860149245,0.24143132502032894,0.4749794874284353,0.1037787147896988,0.6286813990225228
0.5226931053427235,0.36184343464651764,0.9017973496940527,0.4043169998997891,0.8977071916207358,0.31805716323068367,0.5465626212250122,0.07840000441945923,0.6201071364831926,0.8133209833069807,0.7037307962350184
0.42942333206856953,0.5845283504089697,0.02185965168759213,0.06777406874934794,0.2979361761235144,0.5573696364596845,0.5458933907433379,0.3566403113680155,0.4580204852254207,0.038842141486922076,0.5119895055518867
0.2880125113977431,0.01968849121520596,0.6652354352907339,0.7839654328565353,0.2304888562222347,0.8576115992319142,0.08821836365479681,0.7484109250827532,0.8976456113507485,0.6592509973884301,0.5144588071202887
0.610219704752031,0.444803333359309,0.9654979922550145,0.28541766239947675,0.41221364851567666,0.6652898980849571,0.41737699929706806,0.5511860926983025,0.4997402227087566,0.2726542374927762,0.6764156021269767
0.13552786899226626,0.18846147747355632,0.5613864223326062,0.4325874695256773,0.24105078267708135,0.4321657147511573,0.8535359257113292,0.8176449879110543,0.8451408480419624,0.8719703772124249,0.4505991611285326
